family_stem,variable_name,label,n_years,years_range,label_drift
a115,a115,a115. Have tried to quit marijuana - lifetime users only,1,2023-2024..2023-2024,False
a115_a103,a115_a103,"a115_a103. Past 12 months at school, carried a gun?",1,2019-2020..2019-2020,False
a115_a105,a115_a105,"a115_a105. Your race, ethnicity, or national origin - Past 12 months at school,",3,2016-2017..2018-2019,True
a115_a106,a115_a106,a115_a106. Have five or more drinks of alcohol once or twice a week - How much d,2,2015-2016..2020-2021,True
a115_a108,a115_a108,"a115_a108. Past 12 months at school, been pushed, shoved, slapped, hit, or kicke",1,2022-2023..2022-2023,False
a115_a110,a115_a110,a115_a110. Marijuana - How difficult is it for students in your grade to get any,1,2021-2022..2021-2022,False
a115_a97,a115_a97,"a115/a97. past 12 months, harassed or bullied because of  your gender on school",3,2010-2011..2012-2013,False
a116,a116,"a116. Past 12 months, did you ever seriously consider attempting suicide?",1,2015-2016..2015-2016,False
a116_a104,a116_a104,"a116_a104. Past 12 months at school, carried any other weapon?",1,2019-2020..2019-2020,False
a116_a106,a116_a106,"a116_a106. Your religion - Past 12 months at school, were harassed or bullied fo",3,2016-2017..2018-2019,True
a116_a107,a116_a107,"a116_a107. Use marijuana occasionally (smoke, vape, eat, or drink) - How much do",1,2020-2021..2020-2021,False
a116_a108,a116_a108,a116_a108. Does your school ban tobacco use and vaping on school property and at,1,2023-2024..2023-2024,False
a116_a109,a116_a109,"a116_a109. Past 12 months at school, been afraid of being beaten up?",1,2022-2023..2022-2023,False
a116_a111,a116_a111,a116_a111. Prescription drugs to get 'high' or for reasons other than prescribed,1,2021-2022..2021-2022,False
a116_a98,a116_a98,"a116/a98. past 12 months, harassed or bullied because you are gay or lesbian or",3,2010-2011..2012-2013,False
a117,a117,a117. Lifetime users only - have tried to quit smoking or vaping tobacco or nico,1,2021-2022..2021-2022,False
a117_a105,a117_a105,"a117_a105. Past 12 months at school, been threatened or injured with a weapon?",1,2019-2020..2019-2020,False
a117_a107,a117_a107,"a117_a107. Your gender - Past 12 months at school, were harassed or bullied for",4,2015-2016..2018-2019,True
a117_a108,a117_a108,a117_a108. Use marijuana daily - How much do people risk harming themselves phys,1,2020-2021..2020-2021,False
a117_a110,a117_a110,a117_a110. How safe do you feel when you are at school?,2,2022-2023..2023-2024,True
a117_a99,a117_a99,"a117/a99. past 12 months, harassed or bullied because of  a physical or mental",3,2010-2011..2012-2013,False
a118,a118,a118. Lifetime users - have tried to quit alcohol?,1,2021-2022..2021-2022,False
a118_a106,a118_a106,"a118_a106. Past 12 months at school, seen someone carrying a gun, knife, or othe",1,2019-2020..2019-2020,False
a118_a108,a118_a108,a118_a108. Because you are gay or lesbian or someone thought you were - Past 12,4,2015-2016..2018-2019,True
a118_a108,a118_a108c,a118_a108c. Bisexual - Which of the following best describes you?,1,2016-2017..2016-2017,False
a118_a108a,a118_a108a,a118_a108a. Heterosexual (straight) - Which of the following best describes you?,1,2016-2017..2016-2017,False
a118_a108b,a118_a108b,a118_a108b. Gay or Lesbian - Which of the following best describes you?,1,2016-2017..2016-2017,False
a118_a108d,a118_a108d,a118_a108d. Transgender - Which of the following best describes you?,1,2016-2017..2016-2017,False
a118_a108e,a118_a108e,a118_a108e. Not sure - Which of the following best describes you?,1,2016-2017..2016-2017,False
a118_a108f,a118_a108f,a118_a108f. Decline to respond - Which of the following best describes you?,1,2016-2017..2016-2017,False
a118_a109,a118_a109,a118_a109. Cigarettes - How difficult is it for students in your grade to get an,1,2020-2021..2020-2021,False
a118_a111,a118_a111,"a118_a111. Past 12 months at school, been pushed, shoved, slapped, hit, or kicke",2,2022-2023..2023-2024,True
a118a100,a118a100,"a118/a100. past 12 months, harassed or bullied because of  any other reason on",3,2010-2011..2012-2013,False
a119,a119,a119. Lifetime users - have tried to quit marijuana?,1,2021-2022..2021-2022,False
a119_a107,a119_a107,"a119_a107. Past 12 months at school, been threatened with harm or injury?",1,2019-2020..2019-2020,False
a119_a109,a119_a109,"a119_a109. A physical or mental disability - Past 12 months at school, were hara",3,2015-2016..2018-2019,True
a119_a110,a119_a110,a119_a110. Vape products - How difficult is it for students in your grade to get,1,2020-2021..2020-2021,False
a119_a112,a119_a112,"a119_a112. Past 12 months at school, been afraid of being beaten up?",2,2022-2023..2023-2024,True
a119a101,a119a101,a119/a101. how safe do you feel when you are at school?,3,2010-2011..2012-2013,False
a11_a10,a11_a10,"a11_a10. Past 12 months, how would you describe the grades you mostly received i",5,2010-2011..2014-2015,True
a12,a12,a12. What language is spoken most of the time in your home?,9,2015-2016..2023-2024,True
a12,a12c,"a12c. Read English - non-English language at home - How well do you understand,",2,2022-2023..2023-2024,False
a120_a108,a120_a108,"a120_a108. Past 12 months at school, been made fun of, insulted, or called names",1,2019-2020..2019-2020,False
a120_a110,a120_a110,a120_a110. You are an immigrant or someone thought you were - Past 12 months at,3,2015-2016..2018-2019,True
a120_a110,a120_a110c,a120_a110c. Transgender - which of the following best describes you?,1,2015-2016..2015-2016,False
a120_a110a,a120_a110a,a120_a110a. Heterosexual (straight) - which of the following best describes you?,1,2015-2016..2015-2016,False
a120_a110b,a120_a110b,a120_a110b. Gay or Lesbian or Bisexual - which of the following best describes y,1,2015-2016..2015-2016,False
a120_a110d,a120_a110d,a120_a110d. Not sure - which of the following best describes you?,1,2015-2016..2015-2016,False
a120_a110e,a120_a110e,a120_a110e. Decline to respond - which of the following best describes you?,1,2015-2016..2015-2016,False
a120_a111,a120_a111,a120_a111. Alcohol - How difficult is it for students in your grade to get any o,1,2020-2021..2020-2021,False
a120_a112,a120_a112,a120_a112. Does your school ban tobacco use and vaping on school property and at,1,2021-2022..2021-2022,False
a120_a113,a120_a113,"a120_a113. Past 12 months at school, been in a physical fight?",2,2022-2023..2023-2024,True
a120a103,a120a103,"a120/a103. during the past 12 months, how many times did other students spread",3,2010-2011..2012-2013,False
a121_a109,a121_a109,"a121_a109. Your race, ethnicity, or national origin - Past 12 months at school,",1,2019-2020..2019-2020,False
a121_a111,a121_a111,"a121_a111. Any other reason - Past 12 months at school, were harassed or bullied",2,2017-2018..2018-2019,False
a121_a112,a121_a112,a121_a112. Marijuana - How difficult is it for students in your grade to get any,1,2020-2021..2020-2021,False
a121_a114,a121_a114,"a121_a114. Past 12 months at school, had mean rumors or lies spread about you?",3,2021-2022..2023-2024,True
a121a104,a121a104,a121/a104. do you consider yourself a member of a gang?,3,2010-2011..2012-2013,False
a122,a122,a122. How many times have you tried to quit or stop using cigarettes?,1,2020-2021..2020-2021,False
a122_a110,a122_a110,"a122_a110. Your religion - Past 12 months at school, were harassed or bullied fo",1,2019-2020..2019-2020,False
a122_a112,a122_a112,"a122_a112. Past 12 months, other students spread mean rumors/lies/hurtful pictur",2,2017-2018..2018-2019,False
a122_a115,a122_a115,"a122_a115. Past 12 months at school, had sexual jokes, comments, or gestures mad",3,2021-2022..2023-2024,True
a122a105,a122a105,"a122/a105. past 12 months, did your boyfriend or girlfriend ever hit, slap, or",3,2010-2011..2012-2013,False
a123,a123,a123. How many times have you tried to quit or stop using vapes?,1,2020-2021..2020-2021,False
a123_a111,a123_a111,"a123_a111. Your gender - Past 12 months at school, were harassed or bullied for",1,2019-2020..2019-2020,False
a123_a113,a123_a113,a123_a113. Do you consider yourself a member of a gang?,2,2017-2018..2018-2019,False
a123_a116,a123_a116,"a123_a116. Past 12 months at school, been made fun of because of your looks or t",3,2021-2022..2023-2024,True
a123a106,a123a106,"a123/a106. past 12 months, feel so sad/hopeless almost every day for 2 weeks+ t",3,2010-2011..2012-2013,False
a124,a124,a124. How many times have you tried to quit or stop using alcohol?,4,2010-2011..2020-2021,True
a124_a112,a124_a112,"a124_a112. Because you are gay, lesbian, or bisexual or someone thought you were",1,2019-2020..2019-2020,False
a124_a114,a124_a114,"a124_a114. Past 12 months, did you ever feel so sad or hopeless almost every day",2,2017-2018..2018-2019,True
a124_a117,a124_a117,"a124_a117. Past 12 months at school, had your property stolen or deliberately da",3,2021-2022..2023-2024,True
a125,a125,a125. How many times have you tried to quit or stop using marijuana?,2,2017-2018..2020-2021,True
a125_a113,a125_a113,"a125_a113. A physical or mental disability - Past 12 months at school, were hara",1,2019-2020..2019-2020,False
a125_a115,a125_a115,"a125_a115. Past 12 months, did you ever seriously consider attempting suicide?",1,2018-2019..2018-2019,False
a125_a118,a125_a118,"a125_a118. Past 12 months at school, been offered, sold, or given an illegal dru",3,2021-2022..2023-2024,True
a125a107,a125a107,"a125/a107. during the past 12 months, how would you describe the grades you mos",3,2010-2011..2012-2013,False
a126_a113,a126_a113,a126_a113. Does your school have a policy that bans tobacco use and vaping on sc,1,2020-2021..2020-2021,False
a126_a114,a126_a114,a126_a114. You are an immigrant or someone thought you were - Past 12 months at,1,2019-2020..2019-2020,False
a126_a115,a126_a115,a126_a115. Did you eat breakfast today?,1,2017-2018..2017-2018,False
a126_a116,a126_a116,a126_a116. Did you eat breakfast today?,1,2018-2019..2018-2019,False
a126_a119,a126_a119,"a126_a119. Past 12 months at school, damaged school property on purpose?",3,2021-2022..2023-2024,True
a126a108,a126a108,"a126/a108. during the past 12 months, how many times did you skip school or cut",3,2010-2011..2012-2013,False
a127,a127,"a127. Lifetime, driven a car when you had been using alcohol or drugs, or been i",1,2020-2021..2020-2021,False
a127_a115,a127_a115,"a127_a115. Any other reason - Past 12 months at school, were harassed or bullied",1,2019-2020..2019-2020,False
a127_a116,a127_a116,a127_a116. How many questions in this survey did you answer honestly?,1,2017-2018..2017-2018,False
a127_a117,a127_a117,"a127_a117. On an average school night, how many hours of sleep do you get?",1,2018-2019..2018-2019,False
a127_a120,a127_a120,"a127_a120. Past 12 months at school, carried a gun?",3,2021-2022..2023-2024,True
a127a109,a127a109,"card or dice games (such as poker, blackjack, craps), past 12 months how often",3,2010-2011..2012-2013,True
a128_a116,a128_a116,a128_a116. How safe do you feel when you are at school?,2,2019-2020..2020-2021,True
a128_a117,a128_a117,"a128_a117. Is your father, mother, or guardian currently in the military?",1,2017-2018..2017-2018,False
a128_a118,a128_a118,a128_a118. How many questions in this survey did you answer honestly?,1,2018-2019..2018-2019,False
a128_a121,a128_a121,"a128_a121. Past 12 months at school, carried any other weapon?",3,2021-2022..2023-2024,True
a128a110,a128a110,"personal skill games (pool, darts, video games), past 12 months how often have",3,2010-2011..2012-2013,True
a129_a117,a129_a117,"a129_a117. Past 12 months at school, been pushed, shoved, slapped, hit, or kicke",2,2019-2020..2020-2021,True
a129_a118,a129_a118,a129_a118. Which of the following best describes you?,1,2017-2018..2017-2018,False
a129_a119,a129_a119,"a129_a119. Is your father, mother, or guardian currently in the military?",1,2018-2019..2018-2019,False
a129_a122,a129_a122,"a129_a122. Past 12 months at school, been threatened or injured with a weapon?",3,2021-2022..2023-2024,True
a129a111,a129a111,"betting on sports, past 12 months how often have you bet/gambled, even casually",3,2010-2011..2012-2013,True
a12_a11,a12_a11,"a12_a11. Past 12 months, about how many times did you skip school or cut classes",5,2010-2011..2014-2015,True
a12a,a12a,a12a. Understand English - non-English language at home - How well do you unders,2,2022-2023..2023-2024,False
a12b,a12b,"a12b. Speak English - non-English language at home - How well do you understand,",2,2022-2023..2023-2024,False
a12d,a12d,"a12d. Write English - non-English language at home - How well do you understand,",2,2022-2023..2023-2024,False
a13,a13,a13. Are you in the English Learner Program at school?,9,2015-2016..2023-2024,True
a130_a118,a130_a118,"a130_a118. Past 12 months at school, been afraid of being beaten up?",2,2019-2020..2020-2021,True
a130_a119,a130_a119,a130_a119. Are you transgender?,1,2017-2018..2017-2018,False
a130_a120,a130_a120,a130_a120. Which of the following best describes you?,1,2018-2019..2018-2019,False
a130_a123,a130_a123,"a130_a123. Past 12 months at school, seen someone carrying a gun, knife, or othe",3,2021-2022..2023-2024,True
a130a112,a130a112,"lottery (scratch cards or numbers), past 12 months how often have you bet/gambl",3,2010-2011..2012-2013,True
a131_a119,a131_a119,"a131_a119. Past 12 months at school, been in a physical fight?",2,2019-2020..2020-2021,True
a131_a121,a131_a121,a131_a121. Are you transgender? - Some people describe themselves as transgender,1,2018-2019..2018-2019,False
a131_a124,a131_a124,"a131_a124. Past 12 months at school, been threatened with harm or injury?",3,2021-2022..2023-2024,True
a131a113,a131a113,"bet or gambled in any other way, past 12 months how often have you bet/gambled,",3,2010-2011..2012-2013,False
a132_a120,a132_a120,"a132_a120. Past 12 months at school, had mean rumors or lies spread about you?",2,2019-2020..2020-2021,True
a132_a125,a132_a125,"a132_a125. Past 12 months at school, been made fun of, insulted, or called names",3,2021-2022..2023-2024,True
a132a114,a132a114,"is your father, mother, or caretaker currently in the military (army, navy, mar",3,2010-2011..2012-2013,True
a133_a121,a133_a121,"a133_a121. Past 12 months at school, had sexual jokes, comments, or gestures mad",2,2019-2020..2020-2021,True
a133_a126,a133_a126,a133_a126. Spread mean rumors or lies spread about you? - During the past 12 mon,3,2021-2022..2023-2024,True
a133a115,a133a115,a132/a114. how many questions in this survey did you answer honestly?,2,2011-2012..2012-2013,True
a134_a122,a134_a122,"a134_a122. Past 12 months at school, been made fun of because of your looks or t",2,2019-2020..2020-2021,True
a134_a127,a134_a127,"a134_a127. Make sexual jokes, comments, or gestures toward you? - During the pas",3,2021-2022..2023-2024,True
a134a116,a134a116,(unlabeled),1,2012-2013..2012-2013,False
a135_a123,a135_a123,"a135_a123. Past 12 months at school, had your property stolen or deliberately da",1,2020-2021..2020-2021,False
a135_a128,a135_a128,a135_a128. Make fun of you because of your looks or the way you talk? - During t,3,2021-2022..2023-2024,True
a136_a124,a136_a124,"a136_a124. Past 12 months at school, been offered, sold, or given an illegal dru",1,2020-2021..2020-2021,False
a136_a129,a136_a129,"a136_a129. Make fun of you, insult you, or call you names? - During the past 12",3,2021-2022..2023-2024,True
a137_a125,a137_a125,"a137_a125. Past 12 months at school, damaged school property on purpose?",1,2020-2021..2020-2021,False
a137_a130,a137_a130,"a137_a130. Your race, ethnicity, or national origin - Past 12 months at school,",3,2021-2022..2023-2024,True
a138_a126,a138_a126,"a138_a126. Past 12 months at school, carried a gun?",1,2020-2021..2020-2021,False
a138_a131,a138_a131,"a138_a131. Your religion - Past 12 months at school, were harassed or bullied fo",3,2021-2022..2023-2024,True
a139_a127,a139_a127,"a139_a127. Past 12 months at school, carried any other weapon?",1,2020-2021..2020-2021,False
a139_a132,a139_a132,"a139_a132. Your gender - Past 12 months at school, were harassed or bullied for",3,2021-2022..2023-2024,True
a13_a12,a13_a12,"a13_a12. Past 30 days, did you miss school for any of the following reasons?",5,2010-2011..2014-2015,True
a13_a12,a13_a12c,"a13_a12c. Felt very sad, hopeless, anxious, stressed, or angry - past 30 days, d",2,2013-2014..2014-2015,False
a13_a12a,a13_a12a,"a13_a12a. Does not apply, I did't miss any school - past 30 days, did you miss s",2,2013-2014..2014-2015,True
a13_a12b,a13_a12b,"a13_a12b. Illness (feeling physically sick), including problems with breathing o",2,2013-2014..2014-2015,True
a13_a12d,a13_a12d,"a13_a12d. Did't get enough sleep - past 30 days, did you miss school for any of",2,2013-2014..2014-2015,True
a13_a12e,a13_a12e,"a13_a12e. Didn't feel safe at school - past 30 days, did you miss school for any",2,2013-2014..2014-2015,False
a13_a12f,a13_a12f,"a13_a12f. Had to work - past 30 days, did you miss school for any of the followi",2,2013-2014..2014-2015,False
a13_a12g,a13_a12g,"a13_a12g. Had to take care of or help a family member or friend - past 30 days,",2,2013-2014..2014-2015,False
a13_a12h,a13_a12h,"a13_a12h. Wanted to spend time with friends out of school - past 30 days, did yo",2,2013-2014..2014-2015,False
a13_a12i,a13_a12i,"a13_a12i. Wanted to use alcohol or drugs - past 30 days, did you miss school for",2,2013-2014..2014-2015,True
